trial_file,scenario,waypoint,label,x,y,status,duration_s,mode_switches,stop_latency_s,resume_latency_s
baseline_01.csv,baseline,1,navigate_to_aisle1,-6.0,-10.0,SUCCEEDED,16.0,0,,
baseline_01.csv,baseline,2,aisle1_mid,-6.0,-2.0,SUCCEEDED,29.78,0,,
baseline_01.csv,baseline,0,MODE_TEST_1,-6.0,-2.0,MANUAL_OVERRIDE,7.6,2,0.0014,3.5812
baseline_01.csv,baseline,3,aisle1_top,-6.0,5.0,SUCCEEDED,26.46,0,,
baseline_01.csv,baseline,4,cross_to_aisle2,-2.0,5.0,SUCCEEDED,23.75,0,,
baseline_01.csv,baseline,0,MODE_TEST_2,-2.0,5.0,MANUAL_OVERRIDE,4.05,2,0.0018,0.0368
baseline_01.csv,baseline,5,aisle2_mid,-2.0,-2.0,SUCCEEDED,21.95,0,,
baseline_01.csv,baseline,6,return_near_spawn,-6.0,-8.0,SUCCEEDED,27.06,0,,
baseline_02.csv,baseline,1,navigate_to_aisle1,-6.0,-10.0,SUCCEEDED,16.6,0,,
baseline_02.csv,baseline,2,aisle1_mid,-6.0,-2.0,SUCCEEDED,35.18,0,,
baseline_02.csv,baseline,0,MODE_TEST_1,-6.0,-2.0,MANUAL_OVERRIDE,4.04,2,0.0015,0.0332
baseline_02.csv,baseline,3,aisle1_top,-6.0,5.0,SUCCEEDED,21.95,0,,
baseline_02.csv,baseline,4,cross_to_aisle2,-2.0,5.0,SUCCEEDED,16.55,0,,
baseline_02.csv,baseline,0,MODE_TEST_2,-2.0,5.0,MANUAL_OVERRIDE,4.24,2,0.0011,0.2324
baseline_02.csv,baseline,5,aisle2_mid,-2.0,-2.0,SUCCEEDED,28.87,0,,
baseline_02.csv,baseline,6,return_near_spawn,-6.0,-8.0,SUCCEEDED,27.97,0,,
baseline_03.csv,baseline,1,navigate_to_aisle1,-6.0,-10.0,SUCCEEDED,16.54,0,,
baseline_03.csv,baseline,2,aisle1_mid,-6.0,-2.0,SUCCEEDED,30.37,0,,
baseline_03.csv,baseline,0,MODE_TEST_1,-6.0,-2.0,MANUAL_OVERRIDE,6.24,2,0.0016,2.2342
baseline_03.csv,baseline,3,aisle1_top,-6.0,5.0,SUCCEEDED,25.3,0,,
baseline_03.csv,baseline,4,cross_to_aisle2,-2.0,5.0,SUCCEEDED,18.7,0,,
baseline_03.csv,baseline,0,MODE_TEST_2,-2.0,5.0,MANUAL_OVERRIDE,4.94,2,0.0013,0.9318
baseline_03.csv,baseline,5,aisle2_mid,-2.0,-2.0,SUCCEEDED,26.46,0,,
baseline_03.csv,baseline,6,return_near_spawn,-6.0,-8.0,SUCCEEDED,27.66,0,,
baseline_04.csv,baseline,1,navigate_to_aisle1,-6.0,-10.0,SUCCEEDED,24.66,0,,
baseline_04.csv,baseline,2,aisle1_mid,-6.0,-2.0,SUCCEEDED,40.59,0,,
baseline_04.csv,baseline,0,MODE_TEST_1,-6.0,-2.0,MANUAL_OVERRIDE,4.05,2,0.0107,0.0344
baseline_04.csv,baseline,3,aisle1_top,-6.0,5.0,SUCCEEDED,21.65,0,,
baseline_04.csv,baseline,4,cross_to_aisle2,-2.0,5.0,SUCCEEDED,20.15,0,,
baseline_04.csv,baseline,0,MODE_TEST_2,-2.0,5.0,MANUAL_OVERRIDE,4.05,2,0.0014,0.0344
baseline_04.csv,baseline,5,aisle2_mid,-2.0,-2.0,SUCCEEDED,23.45,0,,
baseline_04.csv,baseline,6,return_near_spawn,-6.0,-8.0,SUCCEEDED,33.7,0,,
baseline_05.csv,baseline,1,navigate_to_aisle1,-6.0,-10.0,SUCCEEDED,16.55,0,,
baseline_05.csv,baseline,2,aisle1_mid,-6.0,-2.0,SUCCEEDED,29.82,0,,
baseline_05.csv,baseline,0,MODE_TEST_1,-6.0,-2.0,MANUAL_OVERRIDE,5.29,2,0.0017,1.2799
baseline_05.csv,baseline,3,aisle1_top,-6.0,5.0,SUCCEEDED,22.55,0,,
baseline_05.csv,baseline,4,cross_to_aisle2,-2.0,5.0,SUCCEEDED,17.44,0,,
baseline_05.csv,baseline,0,MODE_TEST_2,-2.0,5.0,MANUAL_OVERRIDE,5.2,2,0.0011,1.1906
baseline_05.csv,baseline,5,aisle2_mid,-2.0,-2.0,SUCCEEDED,22.35,0,,
baseline_05.csv,baseline,6,return_near_spawn,-6.0,-8.0,SUCCEEDED,28.65,0,,
deadman_01.csv,deadman,1,navigate_to_aisle1,-6.0,-10.0,SUCCEEDED,21.09,0,,
deadman_01.csv,deadman,2,aisle1_mid,-6.0,-2.0,SUCCEEDED,44.92,0,,
deadman_01.csv,deadman,0,DEADMAN_TIMEOUT_TEST,-6.0,5.0,DEADMAN_TRIGGERED,7.92,0,1.8745,
deadman_01.csv,deadman,3,aisle1_top,-6.0,5.0,FAILED,39.88,0,,
deadman_01.csv,deadman,4,cross_to_aisle2,-2.0,5.0,SUCCEEDED,22.6,0,,
deadman_01.csv,deadman,5,aisle2_mid,-2.0,-2.0,SUCCEEDED,25.57,0,,
deadman_01.csv,deadman,6,return_near_spawn,-6.0,-8.0,SUCCEEDED,27.07,0,,
deadman_02.csv,deadman,1,navigate_to_aisle1,-6.0,-10.0,SUCCEEDED,15.34,0,,
deadman_02.csv,deadman,2,aisle1_mid,-6.0,-2.0,SUCCEEDED,32.77,0,,
deadman_02.csv,deadman,0,DEADMAN_TIMEOUT_TEST,-6.0,5.0,DEADMAN_TRIGGERED,6.06,0,0.0515,
deadman_02.csv,deadman,3,aisle1_top,-6.0,5.0,SUCCEEDED,20.15,0,,
deadman_02.csv,deadman,4,cross_to_aisle2,-2.0,5.0,SUCCEEDED,19.24,0,,
deadman_02.csv,deadman,5,aisle2_mid,-2.0,-2.0,SUCCEEDED,21.65,0,,
deadman_02.csv,deadman,6,return_near_spawn,-6.0,-8.0,SUCCEEDED,27.66,0,,
deadman_03.csv,deadman,1,navigate_to_aisle1,-6.0,-10.0,SUCCEEDED,22.63,0,,
deadman_03.csv,deadman,2,aisle1_mid,-6.0,-2.0,SUCCEEDED,28.66,0,,
deadman_03.csv,deadman,0,DEADMAN_TIMEOUT_TEST,-6.0,5.0,DEADMAN_TRIGGERED,6.77,0,0.7617,
deadman_03.csv,deadman,3,aisle1_top,-6.0,5.0,SUCCEEDED,20.45,0,,
deadman_03.csv,deadman,4,cross_to_aisle2,-2.0,5.0,SUCCEEDED,26.16,0,,
deadman_03.csv,deadman,5,aisle2_mid,-2.0,-2.0,SUCCEEDED,21.4,0,,
deadman_03.csv,deadman,6,return_near_spawn,-6.0,-8.0,SUCCEEDED,27.06,0,,
deadman_04.csv,deadman,1,navigate_to_aisle1,-6.0,-10.0,SUCCEEDED,16.56,0,,
deadman_04.csv,deadman,2,aisle1_mid,-6.0,-2.0,SUCCEEDED,28.86,0,,
deadman_04.csv,deadman,0,DEADMAN_TIMEOUT_TEST,-6.0,5.0,DEADMAN_TRIGGERED,6.04,0,0.0398,
deadman_04.csv,deadman,3,aisle1_top,-6.0,5.0,SUCCEEDED,23.5,0,,
deadman_04.csv,deadman,4,cross_to_aisle2,-2.0,5.0,SUCCEEDED,18.04,0,,
deadman_04.csv,deadman,5,aisle2_mid,-2.0,-2.0,SUCCEEDED,22.25,0,,
deadman_04.csv,deadman,6,return_near_spawn,-6.0,-8.0,SUCCEEDED,27.06,0,,
deadman_05.csv,deadman,1,navigate_to_aisle1,-6.0,-10.0,SUCCEEDED,15.73,0,,
deadman_05.csv,deadman,2,aisle1_mid,-6.0,-2.0,SUCCEEDED,29.46,0,,
deadman_05.csv,deadman,0,DEADMAN_TIMEOUT_TEST,-6.0,5.0,DEADMAN_TRIGGERED,6.07,0,0.0635,
deadman_05.csv,deadman,3,aisle1_top,-6.0,5.0,SUCCEEDED,22.61,0,,
deadman_05.csv,deadman,4,cross_to_aisle2,-2.0,5.0,FAILED,60.73,0,,
deadman_05.csv,deadman,5,aisle2_mid,-2.0,-2.0,FAILED,52.92,0,,
deadman_05.csv,deadman,6,return_near_spawn,-6.0,-8.0,FAILED,52.03,0,,
obstacle_01.csv,obstacle,1,navigate_to_aisle1,-6.0,-10.0,SUCCEEDED,18.64,0,,
obstacle_01.csv,obstacle,2,aisle1_mid,-6.0,-2.0,SUCCEEDED,32.17,0,,
obstacle_01.csv,obstacle,0,OBSTACLE_TAKEOVER_TEST,-6.0,5.0,OBSTACLE_OVERRIDE,9.33,2,0.0099,0.2907
obstacle_01.csv,obstacle,3,aisle1_top,-6.0,5.0,SUCCEEDED,22.25,0,,
obstacle_01.csv,obstacle,4,cross_to_aisle2,-2.0,5.0,SUCCEEDED,18.06,0,,
obstacle_01.csv,obstacle,5,aisle2_mid,-2.0,-2.0,SUCCEEDED,27.06,0,,
obstacle_01.csv,obstacle,6,return_near_spawn,-6.0,-8.0,SUCCEEDED,28.57,0,,
obstacle_02.csv,obstacle,1,navigate_to_aisle1,-6.0,-10.0,SUCCEEDED,15.04,0,,
obstacle_02.csv,obstacle,2,aisle1_mid,-6.0,-2.0,SUCCEEDED,30.07,0,,
obstacle_02.csv,obstacle,0,OBSTACLE_TAKEOVER_TEST,-6.0,5.0,OBSTACLE_OVERRIDE,9.18,2,0.0015,0.1498
obstacle_02.csv,obstacle,3,aisle1_top,-6.0,5.0,FAILED,9.7,0,,
obstacle_02.csv,obstacle,4,cross_to_aisle2,-2.0,5.0,FAILED,11.97,0,,
obstacle_02.csv,obstacle,5,aisle2_mid,-2.0,-2.0,FAILED,55.71,0,,
obstacle_02.csv,obstacle,6,return_near_spawn,-6.0,-8.0,FAILED,61.25,0,,
obstacle_03.csv,obstacle,1,navigate_to_aisle1,-6.0,-10.0,SUCCEEDED,15.71,0,,
obstacle_03.csv,obstacle,2,aisle1_mid,-6.0,-2.0,SUCCEEDED,31.58,0,,
obstacle_03.csv,obstacle,0,OBSTACLE_TAKEOVER_TEST,-6.0,5.0,OBSTACLE_OVERRIDE,9.1,2,0.0015,0.089
obstacle_03.csv,obstacle,3,aisle1_top,-6.0,5.0,SUCCEEDED,21.65,0,,
obstacle_03.csv,obstacle,4,cross_to_aisle2,-2.0,5.0,SUCCEEDED,16.85,0,,
obstacle_03.csv,obstacle,5,aisle2_mid,-2.0,-2.0,SUCCEEDED,22.9,0,,
obstacle_03.csv,obstacle,6,return_near_spawn,-6.0,-8.0,SUCCEEDED,29.83,0,,
obstacle_04.csv,obstacle,1,navigate_to_aisle1,-6.0,-10.0,SUCCEEDED,18.7,0,,
obstacle_04.csv,obstacle,2,aisle1_mid,-6.0,-2.0,SUCCEEDED,30.4,0,,
obstacle_04.csv,obstacle,0,OBSTACLE_TAKEOVER_TEST,-6.0,5.0,OBSTACLE_OVERRIDE,9.06,2,0.0015,0.0471
obstacle_04.csv,obstacle,3,aisle1_top,-6.0,5.0,SUCCEEDED,20.2,0,,
obstacle_04.csv,obstacle,4,cross_to_aisle2,-2.0,5.0,SUCCEEDED,18.04,0,,
obstacle_04.csv,obstacle,5,aisle2_mid,-2.0,-2.0,SUCCEEDED,21.05,0,,
